quantification_cDNA;coverage_depth;reads;coverage_genome
16.6;98.67692205;9714;82.199
13.7;19.31846303;2840;46.403
19.6;55.97598903;6038;74.006
18;124.2666622;12296;87.694
10.2;59.31919874;6499;75.822
8.46;57.5014547;6006;72.822
23;81.17065177;7915;83.283
31.2;161.7555429;15544;86.523
16.8;499;38728;80.326
19.2;585;45607;100
11.6;752;58121;95.325
16.8;246;19699;93.298
14.4;78;6414;75.374
20.8;226;18014;85.931
23.2;282;22685;95.225
25.2;177;14189;100
11.9;703;54800;75.38
29.2;353;27210;96.004
32.2;583;45338;97.81
16.2;388;30567;94.318
39;193;15526;100
32.6;416;32651;96.87
29.2;384;30233;93.954
22;274;21726;93.298
18;870;67143;97.933
35.4;827;64078;98.662
25.2;1233;95178;97.81
27.6;629;49201;94.97
6.2;108;9021;70.919
24.6;511;40003;93.011
21.6;159;12860;92.018
35.2;921;71609;98.743
11.7;440;34013;100
27.2;417;32847;95.987
20.2;421;32889;100
19.3;237;18887;93.048
26.2;260;20690;93.954
23.6;612;47736;96.793
28.6;752;73082;97.81
5.56;129;36371;100
21.4;314;33588;95.281
25.8;472;46348;97.81
23.2;664;70093;97.813
25;337;30237;96.793
21.8;121;11249;91.365
29.9;915;92585;96.004
14.4;191;18359;100
37.2;330;32355;98.662
33.6;136;13364;94.619
12.7;90;8243;84.617
14.3;224;21402;89.58
22.2;148;14268;100
28;330;34006;96.95
19.2;561;53173;100
27.2;495;45771;96.793
19.1;118;20606;81.48
32.8;463;45212;95.281
27.6;670;63687;97.81
40.8;302;26812;98.662
22.8;137;13479;88.851
28;114;10623;93.372
39.8;207;20014;100
36.2;130;13091;92.044
22.4;313;31371;92.359
20.2;46;5417;100
35.4;514;59334;100
33.4;1010;112368;96.121
32;400;41836;93.954
28.8;67;7175;100
28.2;368;38307;93.302
33.6;212;20704;92.359
21;155;22516;100
36;391;36486;98.679
39.8;595;68464;98.662
29.8;302;29895;94.97
44.2;1132;122984;99.595
36.6;204;19588;100
32.8;328;33361;95.265
22.2;170;17581;89.436
11.8;208;50783;100
29.2;214;23596;93.954
23.6;280;31999;94.318
29.2;144;14773;88.63
25.8;216;21830;89.663
28.8;179;17437;85.797
39;256;27915;93.302
27.8;354;35639;96.141
25.4;300;31247;93.011
34.4;730;76304;98.743
24.4;470;50106;93.302
34.6;1517;169821;98.743
20.4;506;54792;94.378
31.4;714;77106;95.987
44.8;810;77781;99.595
27.8;725;78736;95.903
2.28;5;499;100
16.9;644;77699;98.014
40;319;29833;93.977
15.3;132;36343;56.162
30.6;378;37445;94.549
30;459;45972;93.954
46.2;1159;118837;98.743
34.2;933;105560;97.726
23.6;490;65312;100
52.8;733.3179;56519;96.994
46.6;574.8277;44376;96.994
49.8;529.2077;40878;96.994
42;461.3889;35831;96.994
53;605.121;46771;96.994
42.4;593.1696;45852;96.994
41.2;565.0775;43735;96.994
50.6;569.6647;44084;96.994
33.2;691.3405;53522;95.87
23.4;512.5049;39774;96.994
28.2;936.006;72261;97.927
29.2;920.5348;71193;96.994
26.4;884.9903;68493;96.994
28.8;747.3708;57750;96.994
30.6;834.7153;64587;96.994
41.6;586.1945;45501;96.994
47.6;943.414;72828;96.994
49.4;1139.3166;87962;98.01
44;964.0888;74500;98.01
51.4;639.4468;49369;96.994
40.4;637.5004;49353;98.662
44.2;718.4845;55485;96.994
43;695.0171;53799;96.977
36.8;655.968;50855;96.994
46.6;767.6736;59327;96.994
39.4;947.894;73270;96.994
41.6;771.5766;59737;96.994
41.4;708.327;54837;96.987
40.2;711.6616;55132;96.994
45.4;724.3454;55934;96.994
44.2;685.823;53071;96.994
37.2;516.6805;39852;95.87
37.6;678.7285;52377;99.809
31.2;807.3497;62613;96.994
42.2;934.3439;72175;99.595
33.2;713.1151;55332;95.87
28;516.5405;40214;95.867
45.4;920.0496;71087;96.994
37.2;890.8126;68876;96.994
38;1103.8866;85296;96.994
41.8;811.4316;62622;96.994
44.4;659.939;50949;96.994
31.2;526.1924;40753;95.87
43.8;636.8993;49174;96.994
36.2;379.7287;29387;95.87
41;656.395;50961;96.994
52.4;455.8793;35202;93.947
55.2;338.0202;26311;92.954
36.4;301.898;23376;93.947
36.6;372.1143;28972;94.79
48.8;726.6643;56171;96.994
46.4;492.6071;38266;98.662
78.2;593.5629;45702;98.679
30.8;279.024;21794;94.158
40;349.5495;27116;96.994
34;344.9321;26851;94.158
28.8;399.7929;31220;94.047
47.8;575.3905;44721;98.662
33.4;608.7657;47301;96.134
54.8;431.555;33644;96.994
50.8;470.1663;36710;96.094
50.2;616.1653;47964;96.994
37.8;485.4556;38064;96.994
46;365.3437;28427;96.994
36.2;566.1794;44039;97.646
35.4;447.9016;34963;96.134
41.4;474.1567;37084;96.786
67.8;895.3582;69716;97.646
45.6;690.9177;53896;98.679
45.6;582.6927;45525;96.726
47;509.6717;39899;96.134
52;546.6269;42583;96.994
35.2;398.2242;31069;96.124
43.4;462.8964;36030;96.994
34.8;274.023;21498;94.158
64.8;370.2589;28909;96.134
61.2;392.0819;30469;96.134
47.8;579.4432;44860;97.646
49.4;439.749;34172;97.646
33.2;257.8334;20190;94.158
36.2;291.688;22825;95.512
37.4;315.2629;24713;95.141
54.2;535.0638;41740;96.994
71.6;450.6568;35492;95.281
72.2;588.1098;46063;96.994
81;779.3379;60888;98.01
50.2;643.4925;50060;96.994
41.8;560.4659;43741;96.994
36.4;230.364;17880;94.017
44;177.6049;13797;91.148
42.8;379.4713;29480;96.726
62.4;686.6924;53188;98.01
39.4;443.5879;34477;96.994
